2020-12-18 16:19:04 INFO  ExampleTest:35 - Assert that the page is fully loaded
2020-12-18 16:21:06 INFO  ExampleTest:31 - Creating Example page Object
2020-12-18 16:21:06 INFO  ExampleTest:33 - Click Sign In With Google
2020-12-18 16:21:07 INFO  ExampleTest:35 - Assert that the page is fully loaded
2020-12-18 17:02:40 INFO  ExampleTest:28 - Creating Example page Object
2020-12-18 17:02:40 INFO  ExampleTest:30 - Click Sign In With Google
2020-12-18 17:02:41 INFO  ExampleTest:32 - Assert that the page is fully loaded
2020-12-18 17:05:01 INFO  ExampleTest:28 - Creating Example page Object
2020-12-18 17:05:01 INFO  ExampleTest:30 - Click Sign In With Google
2020-12-18 17:05:02 INFO  ExampleTest:32 - Assert that the page is fully loaded
2020-12-18 17:07:23 INFO  ExampleTest:28 - Creating Example page Object
2020-12-18 17:07:23 INFO  ExampleTest:30 - Click Sign In With Google
2020-12-18 17:07:25 INFO  ExampleTest:32 - Assert that the page is fully loaded
2020-12-18 17:08:36 INFO  ExampleTest:28 - Creating Example page Object
2020-12-18 17:08:36 INFO  ExampleTest:30 - Click Sign In With Google
2020-12-18 17:08:37 INFO  ExampleTest:32 - Assert that the page is fully loaded
2020-12-18 17:10:05 INFO  ExampleTest:28 - Creating Example page Object
2020-12-18 17:10:05 INFO  ExampleTest:30 - Click Sign In With Google
2020-12-18 17:10:06 INFO  ExampleTest:32 - Assert that the page is fully loaded
2020-12-18 17:10:53 INFO  ExampleTest:28 - Creating Example page Object
2020-12-18 17:10:53 INFO  ExampleTest:30 - Click Sign In With Google
2020-12-18 17:10:54 INFO  ExampleTest:32 - Assert that the page is fully loaded
2020-12-18 17:11:34 INFO  ExampleTest:28 - Creating Example page Object
2020-12-18 17:11:34 INFO  ExampleTest:30 - Click Sign In With Google
2020-12-18 17:11:35 INFO  ExampleTest:32 - Assert that the page is fully loaded
2020-12-18 17:13:04 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 17:13:04 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 17:13:05 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 17:15:29 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 17:15:29 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 17:15:30 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 17:16:19 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 17:16:19 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 17:16:20 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 17:17:37 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 17:17:38 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 17:17:39 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 17:26:59 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 17:26:59 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 17:27:00 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 17:27:57 INFO  ExampleTest:30 - Creating Example page Object
2020-12-18 17:27:57 INFO  ExampleTest:32 - Click Sign In With Google
2020-12-18 17:27:58 INFO  ExampleTest:34 - Assert that the page is fully loaded
2020-12-18 17:33:44 INFO  ExampleTest:30 - Creating Example page Object
